,rank,title,author,format,pages,rating,score,votes,release_date,new_release_date
48,49,A Christmas Carol,Charles Dickens,Paperback,104 pages,"4.06 avg rating — 599,679 ratings","score: 335,627","3,945 people voted",(first published December 17th 1843),"Published
        September 23rd 1999
         by Bethany House Publishers 

            
              (first published December 17th 1843)"
49,50,"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,Hardcover,61 pages,"4.17 avg rating — 427,863 ratings","score: 335,339","3,782 people voted",(first published March 12th 1957),"Published
        1985
         by Random House Books for Young Readers

            
              (first published March 12th 1957)"
50,51,The Outsiders,S.E. Hinton,Mass Market Paperback,192 pages,"4.10 avg rating — 938,159 ratings","score: 309,351","3,502 people voted",(first published April 24th 1967),"Published
        September 1st 1997
         by Puffin Books (US/CAN)

            
              (first published April 24th 1967)"
51,52,The Color Purple,Alice Walker,Paperback,304 pages,"4.22 avg rating — 521,224 ratings","score: 306,643","3,459 people voted",(first published 1982),"Published
        December 10th 2019
         by Penguin Books

            
              (first published 1982)"
52,53,The Grapes of Wrath,John Steinbeck,Hardcover,479 pages,"3.97 avg rating — 750,113 ratings","score: 302,278","3,507 people voted",(first published April 14th 1939),"Published
        April 10th 2014
         by Viking

            
              (first published April 14th 1939)"
53,54,One Hundred Years of Solitude,Gabriel García Márquez,Hardcover,417 pages,"4.08 avg rating — 753,470 ratings","score: 302,154","3,344 people voted",(first published 1967),"Published
        June 24th 2003
         by Harper

            
              (first published 1967)"
54,55,A Thousand Splendid Suns,Khaled Hosseini,Hardcover,372 pages,"4.38 avg rating — 1,151,346 ratings","score: 298,283","3,292 people voted",(first published May 22nd 2007),"Published
        June 1st 2007
         by Riverhead Books

            
              (first published May 22nd 2007)"
55,56,Where the Sidewalk Ends,Shel Silverstein,Hardcover,176 pages,"4.30 avg rating — 1,179,090 ratings","score: 297,129","3,369 people voted",(first published 1974),"Published
        November 2002
         by Harpercollins Childrens Books

            
              (first published 1974)"
56,57,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,Paperback,320 pages,"4.26 avg rating — 727,695 ratings","score: 295,348","3,394 people voted",(first published 1908),"Published
        May 6th 2003
         by Signet Book

            
              (first published 1908)"
57,58,Where the Wild Things Are,Maurice Sendak,Paperback,37 pages,"4.22 avg rating — 816,934 ratings","score: 293,413","3,419 people voted",(first published April 19th 1963),"Published
        2000
         by Red Fox

            
              (first published April 19th 1963)"
58,59,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,Audiobook,324 pages,"4.30 avg rating — 1,131,348 ratings","score: 291,178","3,190 people voted",(first published 1985),"Published
        September 30th 2004
         by Macmillan Audio

            
              (first published 1985)"
59,60,The Adventures of Tom Sawyer,Mark Twain,Paperback,244 pages,"3.91 avg rating — 758,171 ratings","score: 287,729","3,395 people voted",(first published 1876),"Published
        February 28th 2006
         by Penguin Classics

            
              (first published 1876)"
60,61,A Tale of Two Cities,Charles Dickens,Paperback,489 pages,"3.85 avg rating — 809,980 ratings","score: 285,042","3,353 people voted",(first published November 26th 1859),"Published
        2003
         by Penguin Books

            
              (first published November 26th 1859)"
61,62,The Count of Monte Cristo,Alexandre Dumas,Paperback,1276 pages,"4.25 avg rating — 746,424 ratings","score: 284,658","3,285 people voted",(first published 1844),"Published
        May 27th 2003
         by Penguin Classics

            
              (first published 1844)"
62,63,Life of Pi,Yann Martel,Paperback,460 pages,"3.91 avg rating — 1,339,142 ratings","score: 283,423","3,217 people voted",(first published September 11th 2001),"Published
        August 29th 2006
         by Seal Books

            
              (first published September 11th 2001)"
63,64,One Flew Over the Cuckoo's Nest,Ken Kesey,Mass Market Paperback,325 pages,"4.19 avg rating — 630,948 ratings","score: 276,824","3,187 people voted",(first published 1962),"Published
        February 1st 1963
         by Signet

            
              (first published 1962)"
64,65,"Oh, the Places You'll Go!",Dr. Seuss,Hardcover,44 pages,"4.35 avg rating — 328,462 ratings","score: 270,921","3,092 people voted",NA,"Published
        January 22nd 1990
         by Random House Books for Young Readers"
65,66,Anna Karenina,Leo Tolstoy,Paperback,964 pages,"4.05 avg rating — 681,933 ratings","score: 267,768","3,114 people voted",(first published 1877),"Published
        October 16th 2012
         by Vintage

            
              (first published 1877)"
